DATE,TIME,Voltage,Current,Power,Unit
10-06-2024,7:04:09,248.29,161.96,40.21,3.3
10-06-2024,7:04:14,255.18,143.72,36.67,3.04
10-06-2024,7:04:19,268.53,120.99,32.49,2.73
10-06-2024,7:04:24,244.52,184.42,45.09,3.83
10-06-2024,7:04:29,254.72,113.62,28.94,2.49
10-06-2024,7:04:34,251.02,112.47,28.23,2.46
10-06-2024,7:04:39,241.91,166.5,40.28,3.54
10-06-2024,7:04:44,255.02,159.97,40.8,3.63
10-06-2024,7:04:49,245.97,127.19,31.28,2.82
10-06-2024,7:04:54,264.78,106.85,28.29,2.57
10-06-2024,7:04:59,262.82,133.95,35.2,3.24
10-06-2024,7:05:04,263.63,151.71,40,3.72
10-06-2024,7:05:09,269.19,121.52,32.71,3.07
10-06-2024,7:05:14,250,167.03,41.76,3.97
10-06-2024,7:05:19,250.18,112.52,28.15,2.7
10-06-2024,7:05:24,263.6,143.96,37.95,3.68
10-06-2024,7:05:29,253.12,139.73,35.37,3.47
10-06-2024,7:05:34,248.36,172.34,42.8,4.24
10-06-2024,7:05:39,266.02,120.34,32.01,3.2
